순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,417310,코람코더원리츠,10920,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.47,0.44,112.2,88.6,97,27,30,25,15
2,055550,신한지주,105300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.49,0.62,0.31,109.8,79.5,94,24,30,25,15
3,003690,코리안리,14590,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.26,0.66,0.51,113.2,77.5,93,23,30,25,15
4,086790,하나금융지주,129200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.38,0.6,0.49,110.0,77.3,93,23,30,25,15
5,005950,이수화학,15090,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.33,0.65,0.97,140.9,93.9,88,28,30,25,5
6,009420,한올바이오파마,61800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.43,0.61,1.34,117.5,92.2,88,28,30,25,5
7,010950,S-Oil,139600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.09,0.59,0.44,122.6,90.9,87,27,30,25,5
8,317400,자이에스앤디,9120,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,1.37,0.72,196.3,98.0,84,29,30,10,15
9,078930,GS,108900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.54,1.22,0.53,149.5,94.7,83,28,30,10,15
10,089860,롯데렌탈,42600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,3.01,0.2,130.4,88.4,82,27,30,10,15
11,002810,삼영무역,22450,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.35,0.89,0.45,113.4,78.5,79,24,30,10,15
12,092230,KPX홀딩스,86500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.3,0.79,0.56,105.7,72.0,77,22,30,10,15
13,006340,대원전선,15460,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.6,1.25,0.41,175.6,98.7,75,30,30,10,5
14,006360,GS건설,35750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.56,0.99,0.56,130.0,92.9,73,28,30,10,5
15,007340,DN오토모티브,47750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,0.9,0.32,130.5,91.4,72,27,30,10,5
16,278470,에이피알,395500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,0.96,0.43,113.5,87.1,71,26,30,10,5
17,483650,달바글로벌,240500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,1.41,1.18,125.8,86.4,71,26,30,10,5
18,007070,GS리테일,26650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.57,0.78,0.34,115.0,81.6,69,24,30,10,5
19,028670,팬오션,5710,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.64,0.87,0.49,110.7,78.3,68,23,30,10,5
20,161390,한국타이어앤테크놀로지,70000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.47,0.76,0.26,108.8,77.0,68,23,30,10,5
21,181710,NHN,66500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,5.54,4.92,0.32,174.4,96.7,64,29,10,10,15
22,161890,한국콜마,135600,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.48,2.92,0.34,160.6,93.4,63,28,10,10,15
23,001800,오리온홀딩스,26400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.79,0.64,0.37,109.1,75.3,63,23,10,25,5
24,001450,현대해상,43050,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.16,1.39,0.34,129.0,86.6,61,26,10,10,15
25,002990,금호건설,15090,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.76,1.92,1.08,245.4,99.2,55,30,10,10,5
26,005090,SGC에너지,62400,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.71,1.51,1.25,136.9,96.2,54,29,10,10,5
